round,train_mse,heldout_nrmse,family_accuracy,assignment_change,restart_agreement,fragmentation,sign_split,magnitude_split,r2_1,r2_2,r2_3,u1,u2,u3,u4,u5
20,0.0026871359441429377,0.23475167155265808,0.7305699481865285,0.3129520052596976,0.7001972386587771,0.27436025673084935,0.0875643255780242,0.02350858147229116,-0.8093529156727739,-0.6750194997000278,-1.1024656662748296,0.19986850756081526,0.1946088099934254,0.34845496383957925,0.1301775147928994,0.12689020381328073
21,0.0026480548549443483,0.23893502354621887,0.6994818652849741,0.3116370808678501,0.6949375410913873,0.30536800866883385,0.0538069870261651,0.02398935070306039,-0.7464725584002576,-0.7787073546645518,-0.5669424250046611,0.18803418803418803,0.1932938856015779,0.34845496383957925,0.14201183431952663,0.1282051282051282
22,0.002515314845368266,0.22721971571445465,0.7253886010362695,0.33136094674556216,0.6863905325443787,0.2787988663832625,0.1564345091742352,0.09768145161290322,-0.7650600339619247,-0.7236389531606431,-0.6889991344287079,0.18474687705456935,0.18211702827087442,0.34845496383957925,0.1452991452991453,0.1393819855358317
23,0.002234294544905424,0.2065759301185608,0.7409326424870466,0.3136094674556213,0.6778435239973701,0.26339918312911564,0.08224823122083397,0.029342431761786598,-0.8073811160821935,-0.7521164701525196,-0.7778220305706947,0.19986850756081526,0.17159763313609466,0.34845496383957925,0.1301775147928994,0.14990138067061143
24,0.0022740992717444897,0.20782209932804108,0.7072538860103627,0.3247863247863248,0.6877054569362262,0.2984496124031008,0.13815642753998916,0.01387768817204301,-0.8056731593524227,-1.0378816790626288,-0.7791649010648705,0.18869165023011178,0.18277449046679817,0.34845496383957925,0.14135437212360288,0.13872452333990795
25,0.002274642698466778,0.19934074580669403,0.7098445595854922,0.3254437869822485,0.6883629191321499,0.294927898641327,0.017367209148031065,0.04391801075268816,-0.8018650672351091,-0.12096318952057028,-1.3151179655404288,0.18474687705456935,0.18080210387902695,0.34845496383957925,0.1452991452991453,0.14069690992767916
26,0.0022074836306273937,0.1942792385816574,0.7020725388601037,0.31032215647600264,0.7015121630506246,0.30351337834458614,0.037551362893828634,0.01829249379652605,-0.6476631082242779,-0.17880998360474476,-1.2974950602264181,0.1913214990138067,0.18211702827087442,0.34845496383957925,0.13872452333990795,0.1393819855358317
27,0.0021798512898385525,0.20032382011413574,0.6761658031088082,0.3320184089414859,0.6738987508218277,0.3293531716262399,0.04088472410390218,0.03936621174524399,-0.723822560148254,-0.4685420950844241,-1.2054096320564085,0.16305062458908612,0.17817225509533202,0.34845496383957925,0.16699539776462854,0.1433267587113741
28,0.002204218180850148,0.19582079350948334,0.7020725388601037,0.31952662721893493,0.6811308349769888,0.30278402934066845,0.16494388412196628,0.03903794458229942,-0.4782344579971429,-0.8831896977944242,-1.044948149978905,0.16962524654832348,0.17685733070348456,0.34845496383957925,0.16042077580539119,0.14464168310322156
29,0.0020070993341505527,0.18344703316688538,0.7124352331606217,0.3425378040762656,0.6863905325443787,0.2929690756022339,0.050333545196558895,0.03846929280397023,-0.6785304819180988,-0.5638419071260452,-0.9458347353628693,0.17422748191978962,0.16502301117685733,0.34845496383957925,0.15581854043392504,0.1564760026298488
