round,train_mse,val_nrmse,unit_accuracy,base_change,base_agreement,mean_sign_split,r2_1,r2_2,r2_3,u1,u2,u3,u4,u5
10,0.010614503175020218,0.3666701018810272,0.5390625,0.453125,0.5107421875,0.852591843764186,-0.575027885770085,0.1530329208103739,-0.12388942140148673,0.18489583333333334,0.20442708333333334,0.21549479166666666,0.16959635416666666,0.2255859375
11,0.009274376556277275,0.3181109130382538,0.5533854166666666,0.4208984375,0.58203125,0.8837954236967379,-0.43193974701563254,0.2532407363586181,0.032535138970398725,0.18782552083333334,0.2099609375,0.2158203125,0.1640625,0.22233072916666666
12,0.006615780759602785,0.2678476870059967,0.5716145833333334,0.384765625,0.6748046875,0.8815626360612043,-0.3307448047906454,0.28403918588827903,0.17588133186098753,0.18782552083333334,0.20475260416666666,0.2158203125,0.16861979166666666,0.22298177083333334
13,0.005037316121160984,0.24653176963329315,0.5638020833333334,0.30859375,0.7060546875,0.904911074047719,-0.2234261982514658,0.21330255136431442,0.13476165549185326,0.18880208333333334,0.19856770833333334,0.22526041666666666,0.1689453125,0.21842447916666666
14,0.003839395474642515,0.22319188714027405,0.5638020833333334,0.275390625,0.732421875,0.9144112495127011,-0.2024669008682911,0.2711982835027805,0.13951387195531317,0.18619791666666666,0.19791666666666666,0.2265625,0.17415364583333334,0.21516927083333334
15,0.003345080651342869,0.20483100414276123,0.5598958333333334,0.2431640625,0.759765625,0.9446664257296762,-0.19769733608351414,0.27286509752065313,0.27285771105215817,0.18684895833333334,0.20377604166666666,0.23209635416666666,0.173828125,0.20345052083333334
16,0.002976832678541541,0.1844913512468338,0.5598958333333334,0.2373046875,0.73828125,0.9551060309821026,-0.20197611729085074,0.2680845242767993,0.3108432021721076,0.18294270833333334,0.19889322916666666,0.23600260416666666,0.18489583333333334,0.197265625
17,0.002267164411023259,0.17049479484558105,0.55078125,0.216796875,0.76953125,0.9712929561846355,-0.15533315166123884,0.2596780540618484,0.3049589486521318,0.17805989583333334,0.18912760416666666,0.2412109375,0.19466145833333334,0.19694010416666666
18,0.0020305144134908915,0.15669991075992584,0.5559895833333334,0.1953125,0.77734375,0.9646062064470847,-0.11399191857982616,0.2330040453444303,0.30975325485661365,0.17708333333333334,0.19205729166666666,0.24088541666666666,0.2021484375,0.18782552083333334
19,0.001807279302738607,0.15767307579517365,0.5494791666666666,0.185546875,0.783203125,0.9798967263247605,0.18173783103240249,0.20880312019367386,0.17999481534414985,0.17643229166666666,0.18489583333333334,0.24186197916666666,0.21223958333333334,0.1845703125
20,0.0018028111662715673,0.1698315143585205,0.5533854166666666,0.1650390625,0.794921875,0.9679901739609965,0.2135317921683192,0.18363259725532033,0.13330498110924704,0.17447916666666666,0.18684895833333334,0.2431640625,0.21516927083333334,0.18033854166666666
21,0.0017298671882599592,0.16408513486385345,0.5494791666666666,0.15625,0.818359375,0.9802225898631374,0.18013699510172587,0.17750889595145347,0.14851068875513707,0.1748046875,0.18326822916666666,0.24576822916666666,0.21875,0.17740885416666666
22,0.0016116545302793384,0.13579748570919037,0.55078125,0.1435546875,0.8125,0.9768386223492254,0.24661105349197376,0.15421770506303445,0.1718436406902687,0.17415364583333334,0.1875,0.24544270833333334,0.2158203125,0.17708333333333334
23,0.0013033238938078284,0.1331583708524704,0.5455729166666666,0.13671875,0.798828125,0.9831995085483994,0.25319532230213204,0.10391653463797224,0.18915645156859695,0.173828125,0.18587239583333334,0.24544270833333334,0.2177734375,0.17708333333333334
24,0.001293272478505969,0.12877240777015686,0.54296875,0.1318359375,0.83984375,0.9889898529610931,0.2658201882517318,0.10743272376925328,0.18792376847687697,0.17317708333333334,0.18001302083333334,0.2470703125,0.22428385416666666,0.17545572916666666
25,0.0011662578908726573,0.12834230065345764,0.546875,0.107421875,0.8154296875,0.9860129342758309,0.22122611333171383,0.1123504947476176,0.20971009555910147,0.17317708333333334,0.17805989583333334,0.25,0.224609375,0.17415364583333334
26,0.0010817027650773525,0.11590921133756638,0.5455729166666666,0.1064453125,0.861328125,0.9887451747129893,0.28250817449724186,0.11333590174205377,0.17980114097824096,0.17317708333333334,0.18196614583333334,0.2490234375,0.220703125,0.17513020833333334
